type_habits,price,adress,url_image,type_chaussure,type_chaussures,url_image_pure,web_scraper_start_url,categorie_exacte,prix_num
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3015628_uploaded_image1_1616441305.jpg,,Baskets Jordan enfants,https://images.coinafrique.com/3015628_uploaded_image1_1616441305.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3017342_uploaded_image1_1616522840.jpg,,Baskets Nike enfants,https://images.coinafrique.com/3017342_uploaded_image1_1616522840.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3017343_uploaded_image1_1616522893.jpg,,Baskets enfants,https://images.coinafrique.com/3017343_uploaded_image1_1616522893.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3017496_uploaded_image1_1616529866.jpg,,Baskets enfants,https://images.coinafrique.com/3017496_uploaded_image1_1616529866.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,8 500,"Dakar, Sénégal",https://images.coinafrique.com/3019231_uploaded_image1_1616610393.jpg,,Chaussures enfant,https://images.coinafrique.com/3019231_uploaded_image1_1616610393.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,8500.0
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3021291_uploaded_image1_1616699088.jpg,,Chaussures enfants,https://images.coinafrique.com/3021291_uploaded_image1_1616699088.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3021292_uploaded_image1_1616699181.jpg,,Chaussures enfants,https://images.coinafrique.com/3021292_uploaded_image1_1616699181.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,5 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3024046_uploaded_image1_1616850690.jpg,,Chaussures bébé,https://images.coinafrique.com/3024046_uploaded_image1_1616850690.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,5000.0
,4 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3024586_uploaded_image1_1616871119.jpg,,Chaussures bébé,https://images.coinafrique.com/3024586_uploaded_image1_1616871119.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,4000.0
,12 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3032235_uploaded_image1_1617269518.jpg,,Ensemble enfant,https://images.coinafrique.com/3032235_uploaded_image1_1617269518.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,12000.0
