type_chaussure,price,adress,url_image
Chaussures  homme,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5640323_uploaded_image1_1764078277.jpg
Chaussures  homme,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5642098_uploaded_image1_1764157446.jpg
Chaussures avec chapeau,8 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5646401_uploaded_image1_1764371645.jpg
Chaussures avec chapeau,8 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5646405_uploaded_image1_1764371847.jpg
Chaussures Friperie,4 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/5647291_uploaded_image1_1764432742.jpg
Chaussures Louis Vuitton,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5653840_uploaded_image1_1764763564.jpg
Baskets Nocta,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5653847_uploaded_image1_1764763835.jpg
Chaussures homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5654945_uploaded_image1_1764813406.jpg
Chaussures  homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5654962_uploaded_image1_1764815112.jpg
Chaussures homme,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5654964_uploaded_image1_1764815249.jpg
Chaussures homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5656226_uploaded_image1_1764870869.jpg
Baskets Nike,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5656286_uploaded_image1_1764873140.jpg
Baskets Nike Air Max 95,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5609154_uploaded_image1_1762451266.jpg
Chaussures  homme,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5658676_uploaded_image1_1765012272.jpg
Chaussures Berluti,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5659090_uploaded_image1_1765032457.jpg
Chaussures hommes,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5659092_uploaded_image1_1765032622.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5661667_uploaded_image1_1765194718.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5661669_uploaded_image1_1765194788.jpg
Chaussures  homme,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5661671_uploaded_image1_1765194838.jpg
Chaussures  homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5661677_uploaded_image1_1765195040.jpg
