type_chaussures,price,adress,url_image
Chaussures enfant,5 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3138744_uploaded_image1_1622222944.jpg
Chaussures bébé,6 000,"Parcelle Assainies, Dakar, Sénégal",
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3141001_uploaded_image1_1622376331.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3141004_uploaded_image2_1622376414.jpeg
Chaussures bébé,5 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3156703_uploaded_image1_1623001294.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3163306_uploaded_image1_1623261796.jpg
Baskets Air Jordan enfant,15 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/3171528_uploaded_image1_1623678884.jpg
Baskets enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3196322_uploaded_image1_1624907984.jpg
Chaussures à talon enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3202429_uploaded_image3_1625166497.jpeg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3214892_uploaded_image2_1625663433.jpeg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3214895_uploaded_image1_1625663507.jpg
Chaussures enfant,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3217457_uploaded_image1_1625760969.jpg
Chaussures enfant,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3217486_uploaded_image1_1625761437.jpg
Chaussures enfant,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3217622_uploaded_image1_1625766711.jpg
Chaussures enfants,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3217628_uploaded_image1_1625766871.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3219227_uploaded_image1_1625842539.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3219232_uploaded_image1_1625842643.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3219248_uploaded_image1_1625842846.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3222222_uploaded_image1_1626008303.jpg
Chaussures  enfant,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3224546_uploaded_image1_1626108022.jpg
Chaussures Enfants,10 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/3227293_uploaded_image1_1626223659.jpg
Babouches enfant,7 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3231496_uploaded_image1_1626390253.jpg
Chaussures enfant,15 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3247099_uploaded_image1_1627387079.jpg
Chaussures  fille,12 500,"Dakar, Sénégal",https://images.coinafrique.com/3252340_uploaded_image1_1627653888.jpg
Chaussures enfant,3 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/3267690_uploaded_image1_1628334320.jpg
Chaussures enfant,13 500,"Dakar, Sénégal",https://images.coinafrique.com/3288165_uploaded_image1_1629374192.jpg
Chaussures enfants,13 500,"Dakar, Sénégal",https://images.coinafrique.com/3288168_uploaded_image1_1629374275.jpg
Chaussures enfants,13 500,"Dakar, Sénégal",https://images.coinafrique.com/3288174_uploaded_image1_1629374418.jpg
Chaussures enfants,2 500,"Dakar, Sénégal",https://images.coinafrique.com/3305453_uploaded_image2_1630348767.jpeg
Chaussures enfant,13 500,"Dakar, Sénégal",https://images.coinafrique.com/3312395_uploaded_image1_1630601772.jpg
Baskets enfants,7 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3316031_uploaded_image1_1630757466.jpg
Mocassins enfant,15 000,"Dakar, Sénégal",https://images.coinafrique.com/3319920_uploaded_image1_1630947708.jpg
Baskets enfants,7 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3327812_uploaded_image1_1631278298.jpg
Chaussures enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3331774_uploaded_image2_1631522808.jpeg
Chaussures enfant,5 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/3336753_uploaded_image1_1631736848.jpg
Chaussures enfant,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3349497_uploaded_image1_1632394857.jpg
Mocassins enfant en daim,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3354895_uploaded_image1_1632752207.jpg
Chaussures enfant,6 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3365662_uploaded_image1_1633268172.jpg
Chaussures enfants,12 000,"Dakar, Sénégal",https://images.coinafrique.com/3370124_uploaded_image1_1633461260.jpg
Chaussures enfants,12 000,"Dakar, Sénégal",https://images.coinafrique.com/3370357_uploaded_image1_1633470461.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3372289_uploaded_image1_1633544246.jpg
Chaussures enfants friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3372302_uploaded_image1_1633544921.jpg
Chaussures orthopédiques enfants,6 500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3378261_uploaded_image1_1633851365.jpg
Chaussures pour enfants,12 000,"Dakar, Sénégal",https://images.coinafrique.com/3391943_uploaded_image1_1634574064.jpg
Baskets enfant,14 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3398164_uploaded_image1_1634895995.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3400230_uploaded_image1_1634998844.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3400235_uploaded_image1_1634998926.jpg
Sandales fillettes,1 500,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/3401225_uploaded_image1_1635079810.jpg
Sandales fillettes,1 500,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/3401227_uploaded_image1_1635079924.jpg
Chaussures enfants,2 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/3415124_uploaded_image1_1635810270.jpg
Sandales petites filles,2 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/3415129_uploaded_image1_1635810651.jpg
Baskets Nike Jordan enfants,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/3429274_uploaded_image1_1636462416.jpg
Chaussures orthopédiques enfant,4 500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3429468_uploaded_image1_1636466917.jpg
Chaussures enfant,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3432590_uploaded_image2_1636625019.jpeg
Chaussettes bébé,9 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3451771_uploaded_image1_1637718423.jpg
Chaussures  enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3462497_uploaded_image1_1638375172.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3462499_uploaded_image1_1638375239.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3462501_uploaded_image1_1638375325.jpg
Ballerines enfant,10 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/3468451_uploaded_image1_1638628031.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3475296_uploaded_image1_1638981582.jpg
Sandales pour enfants,1 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/3481315_uploaded_image1_1639352929.jpg
Souliers enfants,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/3486610_uploaded_image1_1639656374.jpg
Chaussures  en cuir,12 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3495410_uploaded_image1_1640264833.jpg
Baskets enfants Nike,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3495835_uploaded_image1_1640284287.jpg
Baskets Nike enfant,15 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/3496189_uploaded_image2_1640319435.jpeg
Chaussures enfant,10 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3513868_uploaded_image1_1641563929.jpg
Baskets friperie Nike enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3526935_uploaded_image1_1642345866.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3526938_uploaded_image1_1642345964.jpg
Chaussures friperie enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3526941_uploaded_image1_1642346098.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3528219_uploaded_image1_1642431351.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3528221_uploaded_image1_1642431390.jpg
Pantoufles,4 000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/3529128_uploaded_image1_1642500345.jpg
