type_habits,price,adress,url_image
Chaussures homme,2 500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/5446085_uploaded_image1_1753712713.jpg
Ensemble  pour homme,15 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5402965_uploaded_image1_1751479836.jpg
Vêtement  homme,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5450673_uploaded_image1_1753925204.jpg
Pull Adidas,9 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5454584_uploaded_image1_1754095564.jpg
Polo Jules,7 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5454591_uploaded_image1_1754095820.jpg
Para pluie,3 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5409455_uploaded_image1_1751803857.jpg
Vêtements pour la pluie,3 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5409451_uploaded_image1_1751803676.jpg
Emsemble pour la pluie,6 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5409459_uploaded_image1_1751803940.jpg
T-shirt Et casquette,5 000,"Dakar, Sénégal",https://images.coinafrique.com/5460350_uploaded_image1_1754398524.jpg
Chemise Lin homme,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5460351_uploaded_image1_1754398586.jpg
Chemise Lin homme,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5460353_uploaded_image1_1754398640.jpg
Tee-shirt en coton pour homme,4 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5463022_uploaded_image1_1754517200.jpg
Chemises homme,25 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/5471098_uploaded_image1_1754942626.jpg
Jean Oversized,8 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5473114_uploaded_image1_1755058671.jpg
Short homme,4 500,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5473116_uploaded_image1_1755058803.jpg
veste pour homme,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5478474_uploaded_image1_1755362528.jpg
T-shirt manche courte,5 000,"Rufisque, Sénégal",https://images.coinafrique.com/5478947_uploaded_image1_1755391084.jpg
Ensemble costume africain homme,30 000,"Rufisque, Sénégal",https://images.coinafrique.com/5478956_uploaded_image1_1755391742.jpg
T-shirt,2 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5479472_uploaded_image1_1755439676.jpg
Vêtements pour hommes,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5482978_uploaded_image1_1755634531.jpg
Costume africain,30 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5486782_uploaded_image1_1755802563.jpg
Ensemble homme,12 000,"Dakar, Sénégal",https://images.coinafrique.com/5487069_uploaded_image1_1755812280.jpg
Ensemble lein,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5487168_uploaded_image1_1755817625.jpg
Chemises homme,11 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/5490127_uploaded_image1_1755972461.jpg
Tenues africaines,15 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5492072_uploaded_image1_1756125069.jpg
Ensemble chemises Kaki,11 000,"Pikine, Sénégal",https://images.coinafrique.com/5494282_uploaded_image1_1756235854.jpg
Chemise,10 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5495619_uploaded_image1_1756301588.jpg
Chaussures homme,7 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/5497701_uploaded_image1_1756418704.jpg
Pantalon cargo,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5498127_uploaded_image1_1756460300.jpg
Ensemble blousons,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5503561_uploaded_image1_1756762895.jpg
Costume africaine,40 000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/5504240_uploaded_image1_1756801063.jpg
Dialabé,8 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5504244_uploaded_image1_1756801260.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/5505719_uploaded_image1_1756855434.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/5505726_uploaded_image1_1756855677.jpg
Vêtements pour hommes,9 000,"Dakar, Sénégal",https://images.coinafrique.com/5505734_uploaded_image1_1756855859.jpg
Vêtements pour hommes,4 500,"Dakar, Sénégal",https://images.coinafrique.com/5505740_uploaded_image1_1756856003.jpg
Costume Col Mao,40 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5507616_uploaded_image1_1756942821.jpg
Short homme,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/5510423_uploaded_image1_1757080170.jpg
Short homme,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/5510429_uploaded_image1_1757080458.jpg
Short homme,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/5510433_uploaded_image1_1757080608.jpg
Shorts hommes,3 000,"Rufisque, Sénégal",https://images.coinafrique.com/5510436_uploaded_image1_1757080689.jpg
Chemises homme,15 000,"Dakar, Sénégal",https://images.coinafrique.com/5513618_uploaded_image1_1757271994.jpg
Pantalons,8 500,"Dakar, Sénégal",https://images.coinafrique.com/5513990_uploaded_image1_1757298110.jpg
Nusamel sport,12 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5468839_uploaded_image1_1754832244.jpg
Chemises homme,13 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/5516951_uploaded_image1_1757433769.jpg
Costume africain,45 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/5525142_uploaded_image1_1757865150.jpg
Polos homme,6 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5525292_uploaded_image1_1757874532.jpg
Pantalon Kaki homme,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5525299_uploaded_image1_1757874845.jpg
Vêtements homme,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5527580_uploaded_image1_1757989615.jpg
Costume africaine,30 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/5528446_uploaded_image1_1758031889.jpg
Chemises homme,15 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5528639_uploaded_image1_1758039595.jpg
